id_oscar,id_inf,id_res,id_content,title_oscar,year_ceremony,category,name,winner,directed_by,based_on,starring,distributed_by,budget,budget_x_million,box_office,box_office_x_million,imdb,metascore,rotten_tomatoes
1,26,10359,NULL,1917,2020,CINEMATOGRAPHY,Roger Deakins,1,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
2,26,10368,NULL,1917,2020,DIRECTING,Sam Mendes,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
3,26,10395,NULL,1917,2020,MAKEUP AND HAIRSTYLING,Naomi Donne. Tristan Versluis and Rebecca Cole,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
4,26,10399,NULL,1917,2020,MUSIC (Original Score),Thomas Newman,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
5,26,10412,NULL,1917,2020,BEST PICTURE,Sam Mendes. Pippa Harris. Jayne-Ann Tenggren and Callum McDougall. Producers,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
6,26,10417,NULL,1917,2020,PRODUCTION DESIGN,Production Design: Dennis Gassner. Set Decoration: Lee Sandales,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
7,26,10432,NULL,1917,2020,SOUND EDITING,Oliver Tarney and Rachael Tate,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
8,26,10438,NULL,1917,2020,SOUND MIXING,Mark Taylor and Stuart Wilson,1,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
9,26,10443,NULL,1917,2020,VISUAL EFFECTS,Guillaume Rocheron. Greg Butler and Dominic Tuohy,1,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
10,26,10452,NULL,1917,2020,WRITING (Original Screenplay),Written by Sam Mendes & Krysty Wilson-Cairns,0,Sam Mendes,NULL,['George MacKay'. 'Dean-Charles Chapman'. 'Mark Strong'. 'Andrew Scott'. 'Richard Madden'. 'Claire Duburcq'. 'Colin Firth'. 'Benedict Cumberbatch'],['Universal Pictures (Worldwide)'. 'Entertainment One ( United Kingdom and Ireland )'],$95 million,95.0000000,$384.9 million,384.900000,8.3,78,89
