"id_content","type","title_content","release_year","cast","director","country","rating","duration","listed_in","runtime","imdb_score","language","title_oscar","category","name","year_ceremony","winner","directed_by","starring","budget_x_million","box_office_x_million","imdb"
1,Movie,Dick Johnson Is Dead,2020,,Kirsten Johnson,United States,PG-13,"90 min",Documentaries,90,7.5,English,,,,,,,,,,
2,TV Show,Blood & Water,2021,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",,South Africa,TV-MA,"2 Seasons","International TV Shows, TV Dramas, TV Mysteries",,,,,,,,,,,,,
3,TV Show,Ganglands,2021,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Julien Leclercq,,TV-MA,"1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure",,,,,,,,,,,,,
4,TV Show,Jailbirds New Orleans,2021,,,,TV-MA,"1 Season","Docuseries, Reality TV",,,,,,,,,,,,,
5,TV Show,Kota Factory,2021,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",,India,TV-MA,"2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies",,,,,,,,,,,,,
6,TV Show,Midnight Mass,2021,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Mike Flanagan,,TV-MA,"1 Season","TV Dramas, TV Horror, TV Mysteries",,,,,,,,,,,,,
7,Movie,My Little Pony: A New Generation,2021,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr","Robert Cullen, José Luis Ucha",,PG,"91 min",Children & Family Movies,,,,,,,,,,,,,
8,Movie,Sankofa,1993,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri",Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,"125 min","Dramas, Independent Movies, International Movies",,,,,,,,,,,,,
9,TV Show,The Great British Baking Show,2021,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",Andy Devonshire,United Kingdom,TV-14,"9 Seasons","British TV Shows, Reality TV",,,,,,,,,,,,,
10,Movie,The Starling,2021,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",Theodore Melfi,United States,PG-13,"104 min","Comedies, Dramas",,,,,,,,,,,,,
